date,spot chart,spot %age,lumpSum,%age Lumpsum,1% Dip,amount for 1% dip,%age 1% Dip,2% Dip,amount for 2% dip,%age 2% dip,2k for -2% & 1k for -1%,amount -2% || -1% dip,%age for -2% and -1% dip,when to invest 2k,2k sip,amount for 2k sip,%age for sip
6/11/2020,9902,-2.117,812.81,-18.72%,27575.9,27000,2.13%,41401.35956,39000,6.16%,47870.20312,46000,4.07%,FALSE,11648.11465,12000,-2.93%
6/12/2020,9972.9,0.716,818.63,-18.14%,27773.4,27000,2.86%,41697.80031,39000,6.92%,48212.9619,46000,4.81%,FALSE,11731.51515,12000,-2.24%
6/15/2020,9813.7,-1.596,805.56,-19.44%,28330,28000,1.18%,41032.16747,39000,5.21%,48443.32583,47000,3.07%,FALSE,11544.28017,12000,-3.80%
6/16/2020,9914,1.022,813.79,-18.62%,28619.6,28000,2.21%,41451.53289,39000,6.29%,48938.43629,47000,4.12%,FALSE,11662.26272,12000,-2.81%
6/17/2020,9881.15,-0.331,811.09,-18.89%,28524.7,28000,1.87%,41314.1834,39000,5.93%,48776.27898,47000,3.78%,FALSE,11623.66063,12000,-3.14%
6/18/2020,10091.65,2.13,828.37,-17.16%,29132.4,28000,4.04%,42194.30723,39000,8.19%,49815.36924,47000,5.99%,FALSE,11871.2446,12000,-1.07%
6/19/2020,10244.4,1.514,840.91,-15.91%,29573.4,28000,5.62%,42832.97191,39000,9.83%,50569.38842,47000,7.59%,FALSE,12050.97524,12000,0.42%
6/22/2020,10311.2,0.652,846.39,-15.36%,29766.2,28000,6.31%,43112.27011,39000,10.54%,50899.13297,47000,8.30%,FALSE,12129.5476,12000,1.08%
6/23/2020,10471,1.55,859.51,-14.05%,30227.5,28000,7.96%,43780.41163,39000,12.26%,51687.95304,47000,9.97%,FALSE,12317.55559,12000,2.65%
6/24/2020,10305.3,-1.582,845.91,-15.41%,30749.2,29000,6.03%,43087.60156,39000,10.48%,51870.00883,48000,8.06%,FALSE,12122.69186,12000,1.02%
6/25/2020,10288.9,-0.159,844.56,-15.54%,30700.2,29000,5.86%,43019.03134,39000,10.31%,51787.46217,48000,7.89%,FALSE,12103.41678,12000,0.86%
6/26/2020,10383,0.915,852.29,-14.77%,30981,29000,6.83%,43412.47387,39000,11.31%,52261.09882,48000,8.88%,FALSE,12214.16304,12000,1.78%
6/29/2020,10312.4,-0.68,846.49,-15.35%,30770.3,29000,6.10%,43117.28745,39000,10.56%,51905.7455,48000,8.14%,FALSE,12131.10673,12000,1.09%
6/30/2020,10302.1,-0.1,845.65,-15.44%,30739.6,29000,6.00%,43074.222,39000,10.45%,51853.90216,48000,8.03%,FALSE,12118.97563,12000,0.99%
7/1/2020,10430.05,1.242,856.15,-14.39%,31121.4,29000,7.32%,43609.19514,39000,11.82%,52497.91715,48000,9.37%,TRUE,14269.4933,14000,1.92%
7/2/2020,10551.7,1.166,866.14,-13.39%,31484.4,29000,8.57%,44117.82727,39000,13.12%,53110.22214,48000,10.65%,FALSE,14435.8756,14000,3.11%
7/3/2020,10607.35,0.527,870.7,-12.93%,31650.4,29000,9.14%,44350.50609,39000,13.72%,53390.32713,48000,11.23%,FALSE,14511.95266,14000,3.66%
7/6/2020,10763.65,1.474,883.53,-11.65%,32116.8,29000,10.75%,45004.01371,39000,15.39%,54177.03711,48000,12.87%,FALSE,14725.85884,14000,5.18%
7/7/2020,10799.65,0.334,886.49,-11.35%,32224.2,29000,11.12%,45154.5337,39000,15.78%,54358.23711,48000,13.25%,FALSE,14775.04321,14000,5.54%
7/8/2020,10705.75,-0.869,878.78,-12.12%,31944,29000,10.15%,44761.9274,39000,14.77%,53885.60712,48000,12.26%,FALSE,14646.64809,14000,4.62%
7/9/2020,10813.45,1.006,887.62,-11.24%,32265.4,29000,11.26%,45212.23303,39000,15.93%,54427.69711,48000,13.39%,FALSE,14793.99336,14000,5.67%
7/10/2020,10768.05,-0.42,883.89,-11.61%,32129.9,29000,10.79%,45022.4106,39000,15.44%,54199.18378,48000,12.91%,FALSE,14731.85859,14000,5.23%
7/13/2020,10802.7,0.322,886.74,-11.33%,32233.3,29000,11.15%,45167.28609,39000,15.81%,54373.58877,48000,13.28%,FALSE,14779.29518,14000,5.57%
7/14/2020,10607.35,-1.808,870.7,-12.93%,32650.4,30000,8.83%,44350.50609,39000,13.72%,54390.32713,49000,11.00%,FALSE,14512.08552,14000,3.66%
7/15/2020,10618.2,0.102,871.59,-12.84%,32683.8,30000,8.95%,44395.87114,39000,13.84%,54445.96167,49000,11.11%,FALSE,14526.88785,14000,3.76%
7/16/2020,10739.95,1.147,881.59,-11.84%,33058.6,30000,10.20%,44904.92139,39000,15.14%,55070.24788,49000,12.39%,FALSE,14693.51125,14000,4.95%
7/17/2020,10901.7,1.506,894.87,-10.51%,33556.5,30000,11.86%,45581.21606,39000,16.87%,55899.63839,49000,14.08%,FALSE,14914.79553,14000,6.53%
7/20/2020,11022.2,1.105,904.76,-9.52%,33927.4,30000,13.09%,46085.03992,39000,18.17%,56517.51509,49000,15.34%,FALSE,15079.60402,14000,7.71%
7/21/2020,11162.25,1.271,916.25,-8.38%,34358.5,30000,14.53%,46670.60449,39000,19.67%,57235.63652,49000,16.81%,FALSE,15271.26579,14000,9.08%
7/22/2020,11132.6,-0.266,913.82,-8.62%,34267.2,30000,14.22%,46546.63456,39000,19.35%,57083.60295,49000,16.50%,FALSE,15230.64422,14000,8.79%
7/23/2020,11215.45,0.744,920.62,-7.94%,34522.2,30000,15.07%,46893.03959,39000,20.24%,57508.42523,49000,17.36%,FALSE,15343.96021,14000,9.60%
7/24/2020,11194.15,-0.19,918.87,-8.11%,34456.7,30000,14.86%,46803.98193,39000,20.01%,57399.20719,49000,17.14%,FALSE,15314.80669,14000,9.39%
7/27/2020,11131.8,-0.557,913.75,-8.63%,34264.7,30000,14.22%,46543.28967,39000,19.34%,57079.50087,49000,16.49%,FALSE,15229.50322,14000,8.78%
7/28/2020,11300.55,1.516,927.61,-7.24%,34784.2,30000,15.95%,47248.85212,39000,21.15%,57944.78463,49000,18.25%,FALSE,15460.38249,14000,10.43%
7/29/2020,11202.85,-0.865,919.59,-8.04%,34483.4,30000,14.94%,46840.35759,39000,20.10%,57443.81738,49000,17.23%,FALSE,15326.65018,14000,9.48%
